Datum,Timestamp,Closing
01.11.2019,1572566400,165
02.11.2019,1572652800,164
03.11.2019,1572739200,165
04.11.2019,1572825600,162
05.11.2019,1572912000,168
06.11.2019,1572998400,175
07.11.2019,1573084800,170
08.11.2019,1573171200,169
09.11.2019,1573257600,167
10.11.2019,1573344000,171
11.11.2019,1573430400,171
12.11.2019,1573516800,168
13.11.2019,1573603200,169
14.11.2019,1573689600,169
15.11.2019,1573776000,165
16.11.2019,1573862400,164
17.11.2019,1573948800,165
18.11.2019,1574035200,166
19.11.2019,1574121600,160
20.11.2019,1574208000,159
21.11.2019,1574294400,158
22.11.2019,1574380800,145
23.11.2019,1574467200,137
24.11.2019,1574553600,136
25.11.2019,1574640000,122
26.11.2019,1574726400,135
27.11.2019,1574812800,133
28.11.2019,1574899200,138
29.11.2019,1574985600,139
30.11.2019,1575072000,140
